model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
sbert,0.18,0.4,0.42000000000000004,0.7911000000000001
sbert,0.18,0.42,0.4000000000000001,0.7856000000000001
sbert,0.18,0.44,0.38000000000000006,0.7805
sbert,0.18,0.46,0.36000000000000004,0.7765
sbert,0.18,0.48,0.3400000000000001,0.7707
sbert,0.18,0.5,0.32000000000000006,0.7667999999999999
sbert,0.18,0.52,0.30000000000000004,0.7618
sbert,0.18,0.54,0.28,0.7565999999999999
sbert,0.18,0.56,0.26,0.7512
sbert,0.18,0.58,0.2400000000000001,0.7461
sbert,0.18,0.6,0.22000000000000008,0.7412000000000001
sbert,0.18,0.62,0.20000000000000007,0.7367999999999999
sbert,0.18,0.64,0.18000000000000005,0.7319
sbert,0.18,0.66,0.16000000000000003,0.7278000000000001
sbert,0.18,0.68,0.14,0.7225
sbert,0.18,0.7000000000000001,0.12,0.7185
sbert,0.18,0.72,0.10000000000000009,0.7138
sbert,0.18,0.74,0.08000000000000007,0.7092
sbert,0.18,0.76,0.06000000000000005,0.7056
sbert,0.18,0.78,0.040000000000000036,0.701
sbert,0.18,0.8,0.020000000000000018,0.6975
sbert,0.18,0.8200000000000001,0.0,0.6856
sbert,0.2,0.0,0.8,0.8974000000000001
sbert,0.2,0.02,0.78,0.8922
sbert,0.2,0.04,0.76,0.8879000000000001
sbert,0.2,0.06,0.74,0.8827
sbert,0.2,0.08,0.7200000000000001,0.8771
sbert,0.2,0.1,0.7000000000000001,0.8709
sbert,0.2,0.12,0.68,0.8657
sbert,0.2,0.14,0.66,0.8599000000000001
sbert,0.2,0.16,0.64,0.8532000000000001
sbert,0.2,0.18,0.6200000000000001,0.8472999999999999
sbert,0.2,0.2,0.6000000000000001,0.8416000000000001
sbert,0.2,0.22,0.5800000000000001,0.8343
sbert,0.2,0.24,0.56,0.8291000000000002
sbert,0.2,0.26,0.54,0.8238000000000001
sbert,0.2,0.28,0.52,0.818
sbert,0.2,0.3,0.5,0.8128
sbert,0.2,0.32,0.48000000000000004,0.8062
sbert,0.2,0.34,0.46,0.8021000000000001
sbert,0.2,0.36,0.44000000000000006,0.7967000000000001
sbert,0.2,0.38,0.42000000000000004,0.7903
sbert,0.2,0.4,0.4,0.7859
sbert,0.2,0.42,0.38000000000000006,0.7803
sbert,0.2,0.44,0.36000000000000004,0.7762
sbert,0.2,0.46,0.34,0.7715
sbert,0.2,0.48,0.32000000000000006,0.7665
sbert,0.2,0.5,0.30000000000000004,0.7621000000000001
sbert,0.2,0.52,0.28,0.7567999999999999
sbert,0.2,0.54,0.26,0.7511
sbert,0.2,0.56,0.24,0.7463
sbert,0.2,0.58,0.22000000000000008,0.7413
sbert,0.2,0.6,0.20000000000000007,0.7365999999999999
sbert,0.2,0.62,0.18000000000000005,0.732
sbert,0.2,0.64,0.16000000000000003,0.7281000000000002
sbert,0.2,0.66,0.14,0.7229000000000001
sbert,0.2,0.68,0.12,0.7183999999999999
sbert,0.2,0.7000000000000001,0.09999999999999998,0.7141000000000001
sbert,0.2,0.72,0.08000000000000007,0.7094
sbert,0.2,0.74,0.06000000000000005,0.7058000000000001
sbert,0.2,0.76,0.040000000000000036,0.7008000000000001
sbert,0.2,0.78,0.020000000000000018,0.6977000000000001
